"","res"
"167",588.214252974176
"168",57.8585620101112
"169",693.995988401068
"170",-518.687663463992
"171",627.619206039511
"172",1714.87679400382
"173",-1429.13171383434
"174",-2229.37768338522
"175",69.0638502815345
"176",-39.8508658713617
"177",-1598.01448699496
"178",1336.51637576427
"179",775.322722050434
"180",-865.671713717951
"181",-1195.58664964298
"182",423.540497103189
"183",1108.39870634458
"184",417.974720422535
"185",-2017.94578464666
"186",-12.8621022330699
"187",-1748.32157633208
"188",-195.519488393038
"189",1335.57920383579
"190",-93.504459531825
"191",121.429964569812
"192",-1814.06217131831
"193",-356.267234803883
"194",-176.626460050444
"195",924.323566209925
"196",1596.91471300535
"197",983.24100437067
"198",245.960199594949
"199",425.177289260333
"200",-329.011414659672
"201",445.417776184637
"202",-455.448835728916
"203",-1484.2186815973
"204",1151.80498241725
"205",-703.686757998188
"206",46.8740129733633
"207",-90.1673557614558
"208",264.584405360532
"209",-1046.23423119187
"210",-273.939807062394
"211",-3309.75011214805
"212",-180.906066524556
"213",435.215478175785
"214",1770.75741754986
"215",163.915849384968
"216",1667.16063413423
"217",-1125.65623174583
"218",-702.953900993409
"219",882.325684194981
"220",-912.523142515471
"221",994.55875032489
"222",-523.299448436635
"223",-644.324707572479
"224",620.219551328089
"225",398.419865118056
"226",-1860.62750122364
"227",-582.803494913489
"228",-1467.58453062855
"229",-1490.51755949429
"230",-1110.61893440446
"231",-972.872033579661
"232",-896.944861919394
"233",-638.392420039534
"234",-1134.37034435027
"235",768.05342220782
"236",889.258668262155
"237",-2536.96769348941
"238",417.121478474612
"239",-1004.83946224298
"240",-2362.81349917819
"241",1703.02569419628
"242",2041.15503105966
"243",688.874185118322
"244",-524.218226627338
"245",-320.55954702328
"246",-1453.71607395675
"247",-495.739488194362
"248",-3240.15963215353
"249",-1057.55076396574
"250",-1422.98779287977
"251",-1542.82399336182
"252",742.807993408664
"253",-1040.04658616089
"254",-444.236978281697
"255",-1191.43767247442
"256",903.508263173462
"257",-26.2772109961734
"258",3117.34790340222
"259",-765.147479699641
"260",-455.41396974348
"261",5142.50607938907
"262",1454.44736198486
"263",-773.129018530817
"264",-2542.0859135225
"265",-2924.8370633114
"266",355.423777838289
"267",-416.288315987025
"268",508.779144141496
"269",451.970694463103
"270",-341.583329541929
"271",-44.390364761297
"272",1067.78981548103
"273",555.474462465543
"274",4782.60737126133
"275",-1239.58475181883
"276",839.685631432316
"277",70.8209193257499
"278",2309.89000862109
"279",-1063.65626018528
"280",1647.07042772526
"281",-897.736115544853
"282",341.603582743082
"283",-602.553130866992
"284",471.567951885198
"285",340.523798610106
"286",-568.278335583273
"287",2707.97563990296
"288",180.323841092875
"289",205.293415076347
"290",-1314.48094928681
"291",-378.289226369627
"292",-1282.24917297743
"293",1707.04327761581
"294",193.540818000998
"295",-587.048994550991
"296",1701.11837092481
"297",16.6455389181065
"298",-113.507365370511
"299",4.9559855032785
"300",738.184416471013
"301",-393.468210477251
"302",894.690744768908
"303",-507.577344818063
"304",-1126.83364972626
"305",-687.113423836403
"306",-2136.6556573183
"307",221.052224810905
"308",-366.355962307192
"309",1013.38334896778
"310",-863.892859604304
"311",94.6927075515559
"312",641.625733986286
"313",664.705645962051
"314",-767.368399557032
"315",636.95009632469
"316",-68.557529129248
"317",-2261.76767815547
"318",-3594.64889435644
"319",-1934.39622826558
"320",-575.077869578745
"321",-1411.54636311567
"322",478.308972534462
"323",-154.539800301027
"324",-1869.01166289851
"325",1260.52985423333
"326",601.928275316277
"327",735.031218773627
"328",-327.089806943579
"329",-1454.51101603021
"330",-199.866455677577
"331",506.03040307132
"332",1149.48564998712
"333",-388.878802162646
"334",-658.860158438176
"335",1104.1579659706
"336",-528.879633032055
"337",936.722641144625
"338",62.4939502950801
"339",-1759.92777264724
"340",1752.61345991269
